        0. 0.00227614  0.00682501  0.01365000  0.02730000  0.05460000  0.10920000  0.24115002  0.39129992  0.91910002  1.70170008  
   172800. 0.00296566  0.00875950  0.01684274  0.03069691  0.05533304  0.10923834  0.24116174  0.39130308  0.91910746  1.70171384  
   345600. 0.00313145  0.00931229  0.01820890  0.03439884  0.05916417  0.10960094  0.24117803  0.39130633  0.91911509  1.70172797  
   518400. 0.00322097  0.00961001  0.01894327  0.03645058  0.06463451  0.11091324  0.24121856  0.39130976  0.91912314  1.70174288  
   691200. 0.00327896  0.00980345  0.01942619  0.03786083  0.06957038  0.11372052  0.24132680  0.39131370  0.91913239  1.70176001  
   864000. 0.00332103  0.00994428  0.01978058  0.03891117  0.07330293  0.11814817  0.24157371  0.39131890  0.91914462  1.70178264  
  1036800. 0.00334985  0.01004108  0.02002592  0.03964788  0.07596249  0.12388649  0.24206021  0.39132679  0.91916315  1.70181696  
  1209600. 0.00336883  0.01010500  0.02018914  0.04014703  0.07785458  0.13037979  0.24291656  0.39133971  0.91919348  1.70187312  
  1382400. 0.00338178  0.01014874  0.02030161  0.04049800  0.07927082  0.13704554  0.24429292  0.39136118  0.91924392  1.70196650  
  1555200. 0.00339140  0.01018127  0.02038578  0.04076547  0.08041220  0.14342744  0.24634073  0.39139622  0.91932623  1.70211890  
  1728000. 0.00339908  0.01020728  0.02045337  0.04098298  0.08137656  0.14923916  0.24919045  0.39145157  0.91945622  1.70235957  
  1900800. 0.00340536  0.01022857  0.02050884  0.04116287  0.08219269  0.15433435  0.25293182  0.39153588  0.91965427  1.70272626  
  2073600. 0.00341041  0.01024570  0.02055356  0.04130854  0.08286338  0.15865909  0.25759961  0.39166004  0.91994589  1.70326619  
  2246400. 0.00341433  0.01025902  0.02058838  0.04142230  0.08339301  0.16221922  0.26316674  0.39183727  0.92036218  1.70403694  
  2419200. 0.00341727  0.01026902  0.02061457  0.04150805  0.08379605  0.16506526  0.26954666  0.39208332  0.92094011  1.70510697  
  2592000. 0.00341943  0.01027634  0.02063374  0.04157097  0.08409424  0.16728273  0.27660627  0.39241642  0.92172251  1.70655557  
  2764800. 0.00342098  0.01028161  0.02064756  0.04161638  0.08431116  0.16897896  0.28418629  0.39285714  0.92275769  1.70847219  
  2937600. 0.00342209  0.01028538  0.02065746  0.04164901  0.08446822  0.17026709  0.29212261  0.39342814  0.92409887  1.71095538  
  3110400. 0.00342289  0.01028811  0.02066462  0.04167264  0.08458291  0.17125193  0.30026302  0.39415383  0.92580341  1.71411130  
  3283200. 0.00342348  0.01029012  0.02066990  0.04169011  0.08466853  0.17202118  0.30847652  0.39506005  0.92793197  1.71805231  
  3456000. 0.00342393  0.01029165  0.02067391  0.04170345  0.08473466  0.17264225  0.31665628  0.39617369  0.93054773  1.72289534  
  3628800. 0.00342428  0.01029286  0.02067710  0.04171408  0.08478789  0.17316317  0.32471802  0.39752235  0.93371551  1.72876044  
  3801600. 0.00342458  0.01029386  0.02067974  0.04172290  0.08483252  0.17361568  0.33259644  0.39913397  0.93750093  1.73576909  
  3974400. 0.00342483  0.01029472  0.02068201  0.04173049  0.08487123  0.17401900  0.34024094  0.40103641  0.94196947  1.74404253  
  4147200. 0.00342505  0.01029547  0.02068400  0.04173718  0.08490553  0.17438357  0.34761171  0.40325704  0.94718535  1.75369966  
  4320000. 0.00342525  0.01029615  0.02068578  0.04174316  0.08493623  0.17471417  0.35467664  0.40582211  0.95321030  1.76485476  
  4492800. 0.00342543  0.01029675  0.02068737  0.04174851  0.08496371  0.17501237  0.36140905  0.40875625  0.96010211  1.77761484  
  4665600. 0.00342558  0.01029729  0.02068878  0.04175326  0.08498812  0.17527836  0.36778630  0.41208168  0.96791300  1.79207659  
  4838400. 0.00342572  0.01029776  0.02069003  0.04175744  0.08500954  0.17551209  0.37378919  0.41581754  0.97668793  1.80832323  
  5011200. 0.00342584  0.01029817  0.02069111  0.04176105  0.08502805  0.17571398  0.37940191  0.41997911  0.98646280  1.82642126  
  5184000. 0.00342595  0.01029852  0.02069203  0.04176414  0.08504379  0.17588523  0.38461236  0.42457717  0.99726288  1.84641745  
  5356800. 0.00342603  0.01029881  0.02069280  0.04176672  0.08505693  0.17602778  0.38941270  0.42961734  1.00910142  1.86833634  
  5529600. 0.00342610  0.01029905  0.02069344  0.04176885  0.08506771  0.17614423  0.39379992  0.43509975  1.02197872  1.89217846  
  5702400. 0.00342616  0.01029925  0.02069395  0.04177057  0.08507640  0.17623762  0.39777621  0.44101883  1.03588168  1.91791958  
  5875200. 0.00342621  0.01029940  0.02069436  0.04177193  0.08508328  0.17631114  0.40134921  0.44736339  1.05078401  1.94551104  
  6048000. 0.00342624  0.01029952  0.02069468  0.04177300  0.08508863  0.17636801  0.40453183  0.45411694  1.06664702  1.97488116  
  6220800. 0.00342627  0.01029962  0.02069493  0.04177382  0.08509273  0.17641123  0.40734190  0.46125831  1.08342094  2.00593782  
  6393600. 0.00342629  0.01029969  0.02069511  0.04177443  0.08509581  0.17644353  0.40980151  0.46876236  1.10104673  2.03857171  
  6566400. 0.00342630  0.01029974  0.02069525  0.04177489  0.08509809  0.17646728  0.41193620  0.47660091  1.11945821  2.07266029  
  6739200. 0.00342632  0.01029978  0.02069535  0.04177523  0.08509976  0.17648447  0.41377400  0.48474370  1.13858431  2.10807199  
  6912000. 0.00342632  0.01029981  0.02069542  0.04177547  0.08510095  0.17649672  0.41534446  0.49315938  1.15835138  2.14467043  
  7084800. 0.00342633  0.01029983  0.02069547  0.04177564  0.08510180  0.17650533  0.41667767  0.50181640  1.17868531  2.18231840  
  7257600. 0.00342633  0.01029984  0.02069551  0.04177576  0.08510239  0.17651129  0.41780344  0.51068384  1.19951348  2.22088145  
  7430400. 0.00342634  0.01029985  0.02069554  0.04177584  0.08510279  0.17651537  0.41875050  0.51973211  1.22076640  2.26023092  
  7603200. 0.00342634  0.01029986  0.02069555  0.04177590  0.08510307  0.17651813  0.41954590  0.52893353  1.24237905  2.30024641  
  7776000. 0.00342634  0.01029986  0.02069556  0.04177594  0.08510325  0.17651996  0.42021456  0.53826273  1.26429182  2.34081759  
  7948800. 0.00342634  0.01029986  0.02069557  0.04177596  0.08510338  0.17652117  0.42077891  0.54769696  1.28645129  2.38184551  
  8121600. 0.00342634  0.01029987  0.02069558  0.04177598  0.08510346  0.17652195  0.42125866  0.55721626  1.30881058  2.42324342  
  8294400. 0.00342634  0.01029987  0.02069558  0.04177599  0.08510351  0.17652243  0.42167074  0.56680356  1.33132961  2.46493707  
  8467200. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510354  0.17652273  0.42202921  0.57644469  1.35397507  2.50686478  
  8640000. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510356  0.17652288  0.42234537  0.58612829  1.37672026  2.54897717  
  8812800. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510357  0.17652295  0.42262781  0.59584570  1.39954489  2.59123664  
  8985600. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510357  0.17652295  0.42288259  0.60559086  1.42243467  2.63361672  
  9158400. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510357  0.17652291  0.42311339  0.61536004  1.44538090  2.67610133  
  9331200. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510356  0.17652283  0.42332173  0.62515173  1.46837998  2.71868380  
  9504000. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510355  0.17652273  0.42350716  0.63496634  1.49143292  2.76136597  
  9676800. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510354  0.17652261  0.42366755  0.64480601  1.51454471  2.80415711  
  9849600. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510354  0.17652250  0.42379929  0.65467433  1.53772379  2.84707283  
 10022400. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510353  0.17652239  0.42389759  0.66457609  1.56098140  2.89013395  
 10195200. 0.00342634  0.01029987  0.02069558  0.04177599  0.08510352  0.17652231  0.42395671  0.67451699  1.58433098  2.93336535  
 10368000. 0.00342634  0.01029987  0.02069558  0.04177599  0.08510351  0.17652227  0.42397025  0.68450344  1.60778753  2.97679481  
 10540800. 0.00342634  0.01029987  0.02069558  0.04177599  0.08510351  0.17652226  0.42393140  0.69453526  1.63135066  3.02042158  
 10713600. 0.00342634  0.01029987  0.02069558  0.04177599  0.08510351  0.17652231  0.42383339  0.70459568  1.65498095  3.06417271  
 10886400. 0.00342634  0.01029987  0.02069558  0.04177599  0.08510352  0.17652241  0.42366975  0.71468899  1.67868850  3.10806690  
 11059200. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510353  0.17652255  0.42343449  0.72482100  1.70248697  3.15212942  
 11232000. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510354  0.17652271  0.42312220  0.73499703  1.72638881  3.19638332  
 11404800. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510356  0.17652286  0.42272819  0.74522177  1.75040507  3.24084907  
 11577600. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510356  0.17652293  0.42224855  0.75549929  1.77454531  3.28554437  
 11750400. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510356  0.17652287  0.42168014  0.76583302  1.79881758  3.33048411  
 11923200. 0.00342634  0.01029987  0.02069558  0.04177600  0.08510355  0.17652258  0.42102058  0.77622575  1.82322843  3.37568045  
 12096000. 0.00342634  0.01029987  0.02069558  0.04177599  0.08510352  0.17652247  0.42408787  0.78259828  1.83819647  3.40339354  
 12268800. 0.00342634  0.01029986  0.02069557  0.04177593  0.08510300  0.17650861  0.43302352  0.78259851  1.83819700  3.40339453  
 12441600. 0.00342633  0.01029981  0.02069543  0.04177544  0.08509977  0.17645115  0.44182779  0.78259873  1.83819753  3.40339551  
 12614400. 0.00342629  0.01029968  0.02069508  0.04177420  0.08509245  0.17634025  0.45051428  0.78259895  1.83819805  3.40339648  
 12787200. 0.00342622  0.01029946  0.02069449  0.04177213  0.08508063  0.17617504  0.45908670  0.78259917  1.83819857  3.40339743  
 12960000. 0.00342613  0.01029914  0.02069364  0.04176920  0.08506434  0.17595784  0.46754564  0.78259939  1.83819908  3.40339837  
 13132800. 0.00342601  0.01029873  0.02069255  0.04176545  0.08504374  0.17569206  0.47589102  0.78259960  1.83819958  3.40339930  
